model,prompt_id,problem_group,condition,mechanism,consistent_label,distractor_label,baseline_top1_token_id,baseline_top1_class,baseline_consistent_minus_distractor_margin,baseline_task_coordinate,intervened_top1_token_id,intervened_top1_class,intervened_consistent_minus_distractor_margin,intervened_task_coordinate
gemma,arith_ctx_051_untrusted_conflict,51,untrusted_conflict,competition,five,three,5231,other,1.3046875,14.616395950317385,5231,other,1.3046875,14.616395950317385
gemma,arith_ctx_051_asserted_conflict,51,asserted_conflict,competition,five,three,4105,consistent,1.671875,5.531982421875,4105,consistent,1.671875,5.531982421875
gemma,arith_ctx_051_explicit_correction,51,explicit_correction,closure,five,three,4105,consistent,1.8125,3.63200569152832,5231,other,0.40625,34.735145568847656
gemma,arith_ctx_051_final_recheck,51,final_recheck,closure,five,three,5231,other,0.671875,23.846960067749023,5231,other,0.40625,28.810731887817383
gemma,arith_ctx_054_clean,54,clean,stable,twenty,zero,8199,distractor,-2.1015625,-4.584150314331055,8199,distractor,-2.1015625,-4.584150314331055
gemma,arith_ctx_054_paraphrase,54,paraphrase,stable,twenty,zero,5231,other,-1.71875,-35.40326690673828,5231,other,-1.71875,-35.40326690673828
gemma,arith_ctx_054_untrusted_conflict,54,untrusted_conflict,competition,twenty,zero,8199,distractor,-1.546875,-13.770262718200684,8199,distractor,-1.546875,-13.770262718200684
gemma,arith_ctx_054_asserted_conflict,54,asserted_conflict,competition,twenty,zero,8199,distractor,-2.96875,12.48836898803711,8199,distractor,-2.96875,12.48836898803711
gemma,arith_ctx_054_explicit_correction,54,explicit_correction,closure,twenty,zero,8199,distractor,-1.71875,-26.76085662841797,8199,distractor,-1.71875,-26.76085662841797
gemma,arith_ctx_054_final_recheck,54,final_recheck,closure,twenty,zero,5231,other,-3.65625,16.613014221191406,5231,other,-3.65625,16.613014221191406
gemma,arith_ctx_057_clean,57,clean,stable,sixteen,fourteen,5231,other,0.0546875,-4.584150314331055,5231,other,0.0546875,-4.584150314331055
gemma,arith_ctx_057_paraphrase,57,paraphrase,stable,sixteen,fourteen,5231,other,-0.1171875,-5.139155864715576,5231,other,-0.1171875,-5.139155864715576
gemma,arith_ctx_057_untrusted_conflict,57,untrusted_conflict,competition,sixteen,fourteen,5231,other,-0.671875,19.94641494750977,5231,other,-0.671875,19.94641494750977
gemma,arith_ctx_057_asserted_conflict,57,asserted_conflict,competition,sixteen,fourteen,5231,other,0.1171875,4.317084312438965,5231,other,0.1171875,4.317084312438965
gemma,arith_ctx_057_explicit_correction,57,explicit_correction,closure,sixteen,fourteen,5231,other,-0.1875,4.729238510131836,5231,other,0.4921875,-17.925758361816406
gemma,arith_ctx_057_final_recheck,57,final_recheck,closure,sixteen,fourteen,5231,other,-0.5390625,13.926713943481444,5231,other,-0.5390625,13.926713943481444
